Base URL,Level 1 - Name,Level 1 - ID,Level 1 - URL,Level 2 - Name,Level 2 - ID,Level 2 URL,Level 3 - Name,Level 3 - ID,Level 3 URL,Level 4 - Name,Level 4 - ID,Level 4 URL
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,,,,,,,,,
,,,,,,,,,,,,
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,,,,,,
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,CHEESE,178975,https://groceries.retailer.com/browse/178974/178969/178975,CHEESE,178975,https://groceries.retailer.com/browse/178974/178969/178975
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,COOKED MEAT & ANTIPASTI,178976,https://groceries.retailer.com/browse/178974/178969/178976,COOKED MEAT & ANTIPASTI,178976,https://groceries.retailer.com/browse/178974/178969/178976
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,DAIRY & EGGS,178977,https://groceries.retailer.com/browse/178974/178969/178977,DAIRY & EGGS,178977,https://groceries.retailer.com/browse/178974/178969/178977
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,DESSERTS,178978,https://groceries.retailer.com/browse/178974/178969/178978,DESSERTS,178978,https://groceries.retailer.com/browse/178974/178969/178978
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,DRINKS,178979,https://groceries.retailer.com/browse/178974/178969/178979,DRINKS,178979,https://groceries.retailer.com/browse/178974/178969/178979
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,FISH & SEAFOOD,178980,https://groceries.retailer.com/browse/178974/178969/178980,FISH & SEAFOOD,178980,https://groceries.retailer.com/browse/178974/178969/178980
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,FRUIT & VEGETABLES,178981,https://groceries.retailer.com/browse/178974/178969/178981,FRUIT & VEGETABLES,178981,https://groceries.retailer.com/browse/178974/178969/178981
https://groceries.retailer.com/browse,THE BEST,178974,https://groceries.retailer.com/browse/178974,FRESH,178969,https://groceries.retailer.com/browse/178974/178969,MEAT & POULTRY,178982,https://groceries.retailer.com/browse/178974/178969/178982,MEAT & POULTRY,178982,https://groceries.retailer.com/browse/178974/178969/178982
